"id";"beginlifespanversion";"endlifespanversion";"creationdate";"alternatieveid";"rioollinktypeid";"startkoppelpuntid";"endkoppelpuntid";"diameter";"pressure";"label";"namespaceid";"omschrijving";"sewerwatertypeid";"straatid";"user_id";"st_astext"
"634286";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079857";"1";"398776";"136573";"1000";"1";"(null)";"2";"(null)";"0";"9197";"(null)";"LINESTRING(140522.573231972 198601.283640129,140519.204736233 198586.94328085,140505.153308847 198533.831672591,140492.004321849 198498.380973713,140484.65633797 198479.559863708)"
"634287";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079858";"1";"136573";"136571";"1000";"1";"(null)";"2";"(null)";"0";"9197";"(null)";"LINESTRING(140484.65633797 198479.559863708,140462.87028635 198432.893938725)"
"634288";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079859";"1";"398922";"136572";"1000";"1";"(null)";"2";"(null)";"0";"9197";"(null)";"LINESTRING(140484.885163081 198474.565130129,140486.847859104 198431.733598319)"
"634298";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079869";"1";"125653";"125652";"1000";"1";"(null)";"2";"(null)";"0";"9254";"(null)";"LINESTRING(139676.766988081 197459.997501153,139674.962247086 197453.165177525,139661.0398396 197401.729430145,139653.433955704 197372.853294658,139650.080416768 197356.742161701)"
"634299";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079870";"1";"398769";"125658";"1000";"1";"(null)";"2";"(null)";"0";"9254";"(null)";"LINESTRING(139678.058864486 197464.827709896,139685.661952718 197493.256818683,139697.006198722 197532.703779686,139699.068699951 197543.016705184,139700.357780692 197548.946588423)"
"634300";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079871";"1";"125658";"125660";"1000";"1";"(null)";"2";"(null)";"0";"9254";"(null)";"LINESTRING(139700.357780692 197548.946588423,139703.967402463 197576.404763051,139706.029903691 197604.894258182,139709.381625443 197642.536478192,139713.893547819 197694.359005707,139717.245269571 197729.680684683)"
"634301";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079872";"1";"125660";"125661";"1000";"1";"(null)";"2";"(null)";"0";"9254";"(null)";"LINESTRING(139717.245269571 197729.680684683,139719.952450952 197768.3542252,139723.046272687 197793.234238342,139728.976295706 197825.333215463,139729.491816175 197836.67746147,139728.202735433 197849.439668335,139725.237793813 197859.365953481,139718.921130438 197872.901580834,139709.768405562 197891.980590855,139700.486800567 197914.540062966)"
"634302";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079873";"1";"125661";"125680";"1000";"1";"(null)";"2";"(null)";"0";"9254";"(null)";"LINESTRING(139700.486800567 197914.540062966,139693.654476939 197934.134593458,139690.044855165 197947.412600359,139687.853473816 197958.627826466,139688.111234051 197967.78055134,139689.65821481 197977.448936469,139693.525457034 197987.246201715,139700.100020425 198003.875790589,139711.186366411 198029.78712424,139709.750233734 198036.422353542,139732.009870862 198084.345908046,139738.033129282 198096.392145323,139743.00871256 198108.700476112,139744.961344187 198128.275576738)"
"634303";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079874";"1";"125651";"125652";"1000";"1";"(null)";"2";"(null)";"0";"9254";"(null)";"LINESTRING(139663.102340847 197170.719787131,139657.289176587 197176.164203288,139648.148612842 197289.189550254,139646.73065198 197339.46509701,139650.080416768 197356.742161701)"
"634335";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079906";"1";"442245";"125357";"1000";"1";"(null)";"2";"(null)";"0";"9390";"(null)";"LINESTRING(138020.605338846 196697.79014206,138037.139595573 196678.535005198,138045.518760177 196668.351099598,138047.839301209 196664.096937455,138047.581401191 196660.487455465,138043.19835893 196653.655131838,138031.725232807 196642.439765949,138027.213310429 196635.865342339,138026.182129706 196632.12684045,138025.666469453 196630.06433922,138025.021929083 196620.911474561,138026.311009825 196609.696248454,138030.307271952 196583.784914806)"
"634370";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079941";"1";"388154";"125347";"1000";"1";"(null)";"1";"(null)";"2";"9365";"(null)";"LINESTRING(138707.613944984 195721.587132807,138763.441121615 195754.660119326,138800.482832961 195779.266436951,138827.88369647 195806.189801027)"
"634371";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079942";"1";"388153";"125347";"1000";"1";"(null)";"1";"(null)";"2";"9365";"(null)";"LINESTRING(139031.200049477 196181.963127472,138954.999889678 196034.854440957,138869.803841763 195874.781281278,138850.118871537 195837.795622995,138827.88369647 195806.189801027)"
"634377";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079948";"1";"125608";"125616";"1000";"1";"(null)";"2";"(null)";"0";"9269";"(null)";"LINESTRING(139210.493539922 197268.305938991,139228.025569182 197288.673889971,139248.780300297 197313.811663352,139249.940500921 197315.358644112,139268.632730806 197338.176016243,139283.586458801 197356.481465994,139297.640402287 197372.982034966)"
"634401";"2/5/2014 9:20:16 AM";"(null)";"2/5/2014 9:20:16 AM";"20079972";"1";"442223";"427936";"1000";"1";"(null)";"2";"(null)";"2";"9209";"(null)";"LINESTRING(137039.888729685 197954.164129111,137079.655794238 197890.346664762,137125.613996845 197819.861541403,137152.805604897 197774.670888395,137160.153588778 197762.940002037,137163.376290632 197757.52563927,137170.381526088 197749.852519647,137184.517801885 197745.021192641,137210.558015652 197738.188869016,137245.879834413 197730.84102492,137284.553235145 197721.688160264,137305.398685563 197716.753114117,137325.160396773 197704.67193104,137335.344442155 197699.902108646,137360.997875786 197698.613027905,137369.248300056 197699.644348414,137381.881626803 197703.769490656,137389.487370918 197708.281413035,137402.315835023 197716.991304711,137409.459455854 197721.515667795,137431.770393421 197724.137581425,137446.724121417 197723.364021153,137455.36118604 197721.301519923,137466.834312163 197718.336578306,137479.46847761 197720.563045239,137496.851637756 197722.468150578,137512.091641762 197718.181838296,137539.952252242 197726.040030888,137581.148040956 197739.374929558,137597.937541818 197749.40423493,137612.34248094 197760.09191921,137620.200673529 197753.900641373,137623.772414053 197741.756276289,137635.202486951 197707.942438775,137640.203231208 197696.988747049,137646.395068179 197682.013911791)"
"634407";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079978";"1";"136587";"136573";"1000";"1";"(null)";"2";"(null)";"0";"9180";"(null)";"LINESTRING(140575.668066253 198480.462304104,140549.756732603 198485.74764697,140528.937142078 198489.169819459,140507.344829982 198481.880264958,140484.65633797 198479.559863708)"
"634408";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079979";"1";"124970";"442224";"1000";"1";"(null)";"2";"(null)";"2";"9321";"(null)";"LINESTRING(136722.369495913 198405.564643959,136724.174236907 198417.037770082,136720.729279751 198434.799183588,136717.312139453 198461.757493462,136719.969977364 198471.24975175,136727.268198422 198483.040465323,136738.95463372 198498.58771282,136752.24396306 198514.914391481,136766.199499168 198533.058251846,136783.344748293 198554.586543234,136796.106955157 198573.407653238,136806.935540909 198593.002183732,136815.959385665 198615.04599559,136822.14716892 198635.929746609,136826.659091297 198664.161341723,136827.690411803 198670.091364743,136827.819291919 198694.713477868,136822.276049032 198718.691050622,136810.716676668 198746.527338822,136782.619413211 198815.631543874,136770.469177228 198846.006994044,136767.431688123 198862.333672708,136768.190990506 198875.243350858,136773.127015136 198892.329611469,136779.219606027 198908.191231399,136782.239622229 198923.844015216,136778.442690956 198937.512995749,136771.484842008 198949.442933396,136766.715159393 198960.142639031,136763.750217774 198971.357865136,136765.533152587 198987.632544444,136765.912803778 199008.515736329,136759.078383402 199023.703321632,136760.011715878 199046.771185269,136762.332117125 199066.623615779,136766.844039503 199085.960386038,136772.000502251 199098.980492922,136779.864146384 199110.582499161,136789.66141163 199121.79786505,136815.443725377 199138.81409428,136839.936958383 199154.412502431,136868.684213749 199176.971974544,136890.985925624 199193.730443535,136906.970974126 199202.109747923,136940.191991057 199206.335813645,136997.146099911 199209.373442535,137038.912343895 199216.967305082,137064.501057901 199218.352696458,137078.552485291 199217.96591632,137085.441421117 199217.363590478)"
"634410";"2/5/2014 10:42:07 AM";"(null)";"2/5/2014 10:42:07 AM";"20079981";"1";"398804";"125390";"1000";"1";"(null)";"2";"(null)";"0";"9364";"(null)";"LINESTRING(138505.549769891 196212.387082377,138425.937082622 196340.91536556)"
"634432";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20080003";"1";"398798";"125353";"1000";"1";"(null)";"2";"(null)";"0";"9295";"(null)";"LINESTRING(138081.880566032 196233.574582276,138077.617877111 196261.119142923,138078.391297597 196290.510938663,138079.970148927 196310.078770561,138074.950533937 196326.295859189,138066.789291352 196345.68518793)"
